Unnamed: 0,title,year,genres,rating,plot,cast,director,countries,translated_plot,genres_vn,country_vn
92,Mystery Men,1999,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",6.1,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,"['Hank Azaria', 'Janeane Garofalo', 'William H. Macy', 'Kel Mitchell', 'Paul Reubens']",['Kinka Usher'],['United States'],Một nhóm siêu anh hùng nghiệp dư không giỏi phải cố gắng cứu ngày khi một phản diện siêu việt đe dọa phá hủy siêu anh hùng và thành phố lớn.,"['Hành động', 'Hài', 'Giả tưởng', 'Khoa học viễn tưởng']",['Hoa Kỳ']
93,Dangerous Liaisons,1988,"['Drama', 'Romance']",7.5,A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.,"['Glenn Close', 'John Malkovich', 'Michelle Pfeiffer', 'Swoosie Kurtz', 'Keanu Reeves']",['Stephen Frears'],"['United States', 'United Kingdom']",Một người mẹ vi phạm đạo đức và một kẻ đã xa lánh đã đặt cược về sự tàn phá của một phụ nữ mới kết hôn.,"['Chính kịch', 'Lãng mạn']","['Hoa Kỳ', 'Vương quốc Anh']"
94,Rosetta,1999,['Drama'],7.4,"Young and impulsive Rosetta lives with her alcoholic mother and, moved by despair, she will do anything to maintain a job.","['Émilie Dequenne', 'Fabrizio Rongione', 'Anne Yernaux', 'Olivier Gourmet', 'Bernard Marbaix']","['Jean-Pierre Dardenne', 'Luc Dardenne']","['France', 'Belgium']","Người trẻ và đầy quyết tâm Rosetta sống chung với mẹ cô bị nghiện rượu và, chịu đựng không bằng được nỗi tuyệt vọng, cô sẽ làm bất cứ điều gì để duy trì một công việc.",['Chính kịch'],"['Pháp', 'Bỉ']"
95,The Outlaw Josey Wales,1976,"['Drama', 'Western']",7.8,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,"['Clint Eastwood', 'Chief Dan George', 'Sondra Locke', 'Bill McKinney', 'John Vernon']",['Clint Eastwood'],['United States'],Nông dân Missouri Josey Wales gia nhập một đơn vị du kích Liên minh và cuối cùng phải chạy trốn khỏi lính Union đã giết hại gia đình ông.,"['Chính kịch', 'Miền Tây']",['Hoa Kỳ']
96,The Last Temptation of Christ,1988,['Drama'],7.5,"The life of Jesus Christ, his journey through life as he faces the struggles all humans do, and his final temptation on the cross.","['Willem Dafoe', 'Harvey Keitel', 'Paul Greco', 'Steve Shill', 'Verna Bloom']",['Martin Scorsese'],"['Canada', 'United States']","Chuyện đời Giê-su Kitô, hành trình qua cuộc sống của ông khi gặp phải những khó khăn mà tất cả con người đều trải qua và thử thách cuối cùng trên thập tự giá.",['Chính kịch'],"['Canada', 'Hoa Kỳ']"
97,Soapdish,1991,"['Comedy', 'Romance']",6.6,"An ambitious television soap actress connives with her producer to scuttle the career of the show's long-time star, but nothing works as they plan.","['Cathy Moriarty', 'Teri Hatcher', 'Robert Downey Jr.', 'Sally Field', 'Paul Johansson']",['Michael Hoffman'],['United States'],"Nữ diễn viên telenovela có tham vọng đang âm mưu với nhà sản xuất để phá hỏng sự nghiệp của ngôi sao lâu năm trong chương trình, nhưng mọi thứ đều không theo kế hoạch như họ mong muốn.","['Hài', 'Lãng mạn']",['Hoa Kỳ']
98,The Bat,1959,"['Horror', 'Mystery', 'Thriller']",6.0,"A crazed killer known as ""The Bat"" is on the loose in a mansion full of people.","['Vincent Price', 'Agnes Moorehead', 'Gavin Gordon', 'John Sutton', 'Lenita Lane']",['Crane Wilbur'],['United States'],"Một kẻ giết người điên rồ được gọi là ""Mối nhện"" đang lẩn trốn trong một lâu đài đầy người.","['Kinh dị', 'Bí ẩn', 'Giật gân']",['Hoa Kỳ']
99,Serpico,1973,"['Biography', 'Crime', 'Drama', 'Thriller']",7.7,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,"['Al Pacino', 'John Randolph', 'Jack Kehoe', 'Biff McGuire', 'Barbara Eda-Young']",['Sidney Lumet'],"['United States', 'Italy']",Cảnh sát New York chân chính tên là Frank Serpico đã phun nước vào sự tham nhũng tràn lan trong lực lượng chỉ để có người đồng đội phản đối ông.,"['Tiểu sử', 'Tội phạm', 'Chính kịch', 'Giật gân']","['Hoa Kỳ', 'Ý']"
100,Murphy's Romance,1985,"['Comedy', 'Drama', 'Romance']",7.0,"Emma moves to a ranch with her son after a divorce and befriends the older Murphy, but things turn complicated when her ex shows up.","['Sally Field', 'James Garner', 'Brian Kerwin', 'Corey Haim', 'Dennis Burkley']",['Martin Ritt'],['United States'],"Emma chuyển đến một trang trại cùng với con trai sau khi ly hôn và kết bạn với Murphy già, nhưng mọi thứ trở nên phức tạp khi người chồng cũ của cô ấy xuất hiện.","['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
101,12 Angry Men,1957,"['Crime', 'Drama']",9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman']",['Sidney Lumet'],['United States'],Hội thẩm xét xử vụ án giết người ở thành phố New York cảm thấy khó chịu bởi một thành viên duy nhất khiến họ phải xem xét kỹ lưỡng bằng chứng trước khi đưa ra kết luận táo bạo.,"['Tội phạm', 'Chính kịch']",['Hoa Kỳ']
102,White Man's Burden,1995,"['Drama', 'Thriller']",5.3,"In an alternative America where African-Americans and White Americans have reversed cultural roles, a white factory worker kidnaps a black factory owner for dismissing him over perceived disdain.","['John Travolta', 'Harry Belafonte', 'Kelly Lynch', 'Margaret Avery', 'Tom Bower']",['Desmond Nakano'],"['France', 'United States']","Trong một nước Mỹ khác biệt, nơi người da đen và người da trắng đã đảo ngược vai trò văn hóa của nhau, công nhân da trắng của nhà máy bắt cóc chủ sở hữu nhà máy người da đen vì đã sa thải anh ta vì cảm giác phán xét không đúng ý.","['Chính kịch', 'Giật gân']","['Pháp', 'Hoa Kỳ']"
103,The Nutty Professor,1996,"['Comedy', 'Romance', 'Sci-Fi']",5.7,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,"['Eddie Murphy', 'Jada Pinkett Smith', 'James Coburn', 'Larry Miller', 'Dave Chappelle']",['Tom Shadyac'],['United States'],Giáo sư Sherman Klump béo phì nhưng tốt bụng đã sử dụng một chất đặc biệt khiến ông trở thành gầy và hung ác Buddy Love.,"['Hài', 'Lãng mạn', 'Khoa học viễn tưởng']",['Hoa Kỳ']
104,The Opposite of Sex,1998,"['Comedy', 'Drama', 'Romance']",6.4,"A 16-year-old girl visits her gay half-brother and ends up seducing his boyfriend, thus wreaking havoc on all of their lives.","['Christina Ricci', 'Martin Donovan', 'Lisa Kudrow', 'Lyle Lovett', 'Johnny Galecki']",['Don Roos'],['United States'],"Một cô gái 16 tuổi đến thăm em trai nam nhưng đồng tính và cuối cùng đã cám dỗ bạn trai của anh ta, gây ra sự rối loạn cho tất cả những người xung quanh họ.","['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
105,Female Perversions,1996,"['Drama', 'Fantasy', 'Thriller']",5.3,"An ambitious female attorney wallows in excess and meaningless sex with both male and female partners, while dealing with her personal life problems including helping her kleptomaniac sister.","['Tilda Swinton', 'Amy Madigan', 'Karen Sillas', 'Frances Fisher', 'Clancy Brown']",['Susan Streitfeld'],"['Germany', 'United States']","Một luật sư phụ nữ có tham vọng bị cuốn vào bùng nổ và ý thức về tình dục không có nghĩa với cả đối tác nam và nữ, trong khi phải giải quyết vấn đề cuộc sống cá nhân của mình bao gồm giúp em gái mình mắc chứng trộm cắp.","['Chính kịch', 'Giả tưởng', 'Giật gân']","['Đức', 'Hoa Kỳ']"
106,Diva,1981,"['Crime', 'Music', 'Thriller']",7.1,"Two tapes, two Parisian mob killers, one corrupt policeman, an opera fan, a teenage thief, and the coolest philosopher ever filmed all twist their way through an intricate and stylish French-language thriller.","['Frédéric Andréi', 'Roland Bertin', 'Richard Bohringer', 'Gérard Darmon', 'Chantal Deruaz']",['Jean-Jacques Beineix'],['France'],"Hai băng dính, hai kẻ giết người thuộc hàng ngũ Mafia Paris, một cảnh sát tham nhũng, một người hâm mộ vở nhạc kịch, một trộm trẻ tuổi và nhà triết học được coi là người trí tuệ nhất từng được quay phim đều có cách mạng trong một bộ phim trinh thám Pháp ngữ tinh vi và sang trọng.","['Tội phạm', 'Âm nhạc', 'Giật gân']",['Pháp']
107,Marty,1955,"['Drama', 'Romance']",7.7,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,"['Ernest Borgnine', 'Betsy Blair', 'Esther Minciotti', 'Augusta Ciolli', 'Joe Mantell']",['Delbert Mann'],['United States'],Một người thợ thịt trung niên và một cô giáo đã bỏ hẹn nhau về ý tưởng yêu đương gặp nhau tại một buổi nhảy và đều rơi vào tình yêu.,"['Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
108,Pajama Party,1964,"['Comedy', 'Musical', 'Romance', 'Sci-Fi']",4.9,"Sent to Earth to prepare for an invasion, a Martian scout lands amidst a swim party and tries to convince everyone that he really is who he says.","['Tommy Kirk', 'Annette Funicello', 'Elsa Lanchester', 'Harvey Lembeck', 'Jesse White']",['Don Weis'],['United States'],Một người săn binh Mart không gian được gửi đến Trái đất để chuẩn bị cho một cuộc tấn công. Người này hạ cánh xuống gần bữa tiệc tắm và cố gắng thuyết phục mọi người rằng anh thật sự là ai mà mình nói.,"['Hài', 'Nhạc kịch', 'Lãng mạn', 'Khoa học viễn tưởng']",['Hoa Kỳ']
109,My Family,1995,['Drama'],7.3,A man makes his way from Mexico to Los Angeles in the 1920s and gets married and raises a big family there. The movie follows the children until they get married and start their families in the 1960s.,"['Edward James Olmos', 'Rafael Cortes', 'Ivette Reina', 'Amelia Zapata', 'Jacob Vargas']",['Gregory Nava'],['United States'],"Một người đàn ông di chuyển từ México đến Los Angeles vào những năm 1920, lấy vợ và nuôi một gia đình lớn ở đó. Phim theo dõi con cái của anh ta cho tới khi họ kết hôn và bắt đầu xây dựng gia đình vào những năm 1960.",['Chính kịch'],['Hoa Kỳ']
110,In Old California,1942,['Western'],6.3,"During the California Gold Rush, Boston pharmacist Tom Craig sets up shop in Sacramento where he clashes with local town crook Britt Dawson.","['John Wayne', 'Binnie Barnes', 'Albert Dekker', 'Helen Parrish', 'Patsy Kelly']",['William C. McGann'],['United States'],"Trong thời kỳ đắm chìm của vàng ở California, dược sĩ Boston Tom Craig đã thiết lập cửa hàng tại Sacramento nơi ông xung đột với kẻ trộm địa phương Britt Dawson.",['Miền Tây'],['Hoa Kỳ']
111,Analyze This,1999,"['Comedy', 'Crime']",6.7,A comedy about a psychiatrist whose number-one patient is an insecure mob boss.,"['Robert De Niro', 'Billy Crystal', 'Lisa Kudrow', 'Chazz Palminteri', 'Kresh Novakovic']",['Harold Ramis'],"['United States', 'Australia']",Một bộ phim hài về một bác sĩ tâm thần có bệnh nhân số 1 là một chủ mưu bạo lực bất an.,"['Hài', 'Tội phạm']","['Hoa Kỳ', 'Úc']"
112,The Apple Dumpling Gang Rides Again,1979,"['Comedy', 'Family', 'Western']",6.0,"The adventures of two idiotic outlaw wannabees, Amos and Theodore.","['Tim Conway', 'Don Knotts', 'Tim Matheson', 'Kenneth Mars', 'Elyssa Davalos']",['Vincent McEveety'],['United States'],Câu chuyện về những cựu tội phạm ái ố bịp tám bét Amos và Theodore.,"['Hài', 'Gia đình', 'Miền Tây']",['Hoa Kỳ']
113,Maya Lin: A Strong Clear Vision,1994,"['Documentary', 'Biography']",7.3,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,['Maya Lin'],['Freida Lee Mock'],['United States'],Một bộ phim về công việc của nghệ sĩ nổi tiếng nhất với những địa danh như bức tường Lăng Chủ tịch và đài tưởng niệm Quyền dân sự.,"['Tài liệu', 'Tiểu sử']",['Hoa Kỳ']
114,Agnes Browne,1999,"['Comedy', 'Drama', 'Romance']",6.5,"The unexpected death of her husband sends a woman and her seven children, ages 2-14, into emotional turmoil and financial crisis in 1967 Dublin. She is forced to borrow money from a ruthless loan shark to make ends meet. She faces her dismal existence by selling fruits and vegetables at an open air market where she spends time with a best friend who gives her encouragement. Wishing to escape her existence, if only for a short time, she dreams of finding enough money to attend an upcoming Tom Jones concert. She realizes her dream by accepting her first date with a French baker. Her kids pool their money so she can buy a new dress. Of course, eventually the family has to face the loan shark, but this is a movie where obstacles are maybe too easily overcome.—John Sacksteder <jsackste@bellsouth.net>","['Anjelica Huston', ""Marion O'Dwyer"", ""Niall O'Shea"", 'Ciaran Owens', 'Roxanna Nic Liam']",['Anjelica Huston'],"['Ireland', 'United States']","Khi chồng mất đột ngột vào năm 1967 tại Dublin, một phụ nữ và bảy người con của cô ở các độ tuổi từ 2 đến 14 rơi vào tình trạng hỗn loạn cảm xúc và khủng hoảng tài chính. Cô phải mượn tiền từ một nhà thám hiểm vay nặng lãi để tồn tại. Cô đối mặt với cuộc sống đầy thất vọng bằng cách bán hoa quả, rau tại chợ ngoài trời nơi cô dành thời gian cùng bạn tốt nhất người sẽ cho cô sự động viên. Mục tiêu của cô là thoát khỏi sự tồn tại này trong thời gian ngắn, nếu chỉ có thể tìm thấy đủ tiền để đến dự một buổi hòa nhạc sắp tới của Tom Jones. Cô đạt được mục tiêu bằng cách chấp nhận cuộc hẹn yêu đầu tiên với thợ bánh người Pháp. Con cái của cô góp hết tiền để cô có thể mua một bộ quần áo mới. Đương nhiên, cuối cùng gia đình cũng phải đối mặt với nhà thám hiểm vay nặng lãi, nhưng đây là một bộ phim nơi mọi trở ngại có thể vượt qua dễ dàng.","['Hài', 'Chính kịch', 'Lãng mạn']","['Ireland', 'Hoa Kỳ']"
115,Tales of Terror,1962,"['Comedy', 'Horror', 'Mystery', 'Thriller']",6.8,Three tales of terror involve a grieving widower and the daughter he abandoned; a drunkard and his wife's black cat; and a hypnotist who prolongs the moment of a man's death.,"['Vincent Price', 'Maggie Pierce', 'Leona Gage', 'Peter Lorre', 'Joyce Jameson']",['Roger Corman'],['United States'],Ba câu chuyện kinh dị liên quan đến một người cha đau buồn vì đã bỏ rơi con gái và một người đàn ông say rượu với mèo đen của vợ; cũng như một nhà cảm nhận tâm trí kéo dài thời gian cuối cùng của một người đàn ông.,"['Hài', 'Kinh dị', 'Bí ẩn', 'Giật gân']",['Hoa Kỳ']
116,The Big Green,1995,"['Comedy', 'Family', 'Sport']",5.5,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.","['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders', 'John Terry', 'Chauncey Leopardi']",['Holly Goldberg Sloan'],['United States'],"Một giáo viên từ Anh được gửi đến một trường học ở Texas không thành công, nơi cô huấn luyện các sinh viên bóng đá, nâng cao sự tự tin của họ và dẫn đến thành công bất ngờ.","['Hài', 'Gia đình', 'Thể thao']",['Hoa Kỳ']
117,Jack & Sarah,1995,"['Comedy', 'Drama', 'Romance']",6.6,A young American woman becomes a nanny in the home of a recent British widower.,"['Richard E. Grant', 'Samantha Mathis', 'Judi Dench', 'Eileen Atkins', 'Cherie Lunghi']",['Tim Sullivan'],"['United Kingdom', 'France']",Một phụ nữ Mỹ trẻ trở thành người chăm sóc trong ngôi nhà của một người đàn ông Anh vừa mới bị ly hôn.,"['Hài', 'Chính kịch', 'Lãng mạn']","['Vương quốc Anh', 'Pháp']"
118,101 Dalmatians/Hype!/The Crucible/Palookaville/Ridicule,1996,['Talk-Show'],,"Siskel and Ebert review five new movies. And in ""The Viewer's Thumb"" segment, Gregory Moore criticizes Siskel and Ebert for liking Michael Jordan's acting in ""Space Jam"", claiming they gave him a break because he lives in Chicago.","['Roger Ebert', 'Gregory Moore', 'Gene Siskel']",['Don DuPree'],[],"Siskel và Ebert đánh giá 5 bộ phim mới. Và trong phần ""The Viewer's Thumb"", Gregory Moore chỉ trích Siskel và Ebert vì thích diễn xuất của Michael Jordan trong ""Space Jam"", nói rằng họ đã giúp ông ấy vì ông ấy sống ở Chicago.",['Chương trình đối thoại'],[]
119,Die Hard 2,1990,"['Action', 'Thriller']",7.1,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.","['Bruce Willis', 'Bonnie Bedelia', 'William Atherton', 'Reginald VelJohnson', 'Franco Nero']",['Renny Harlin'],['United States'],"John McClane cố gắng ngăn chặn một thảm họa khi các đặc vụ quân sự khủng bố chiếm lấy Sân bay Quốc tế Dulles ở Washington, DC.","['Hành động', 'Giật gân']",['Hoa Kỳ']
120,Watership Down,1978,"['Animation', 'Adventure', 'Drama', 'Thriller']",7.6,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren.","['John Hurt', 'Richard Briers', 'Michael Graham Cox', 'John Bennett', 'Ralph Richardson']","['Martin Rosen', 'John Hubley']",['United Kingdom'],Một bộ lạc thỏ đang tìm kiếm một nơi an toàn để xây dựng một khu vườn mới vì họ muốn tránh bị phá hủy bởi con người và cứu cộng đồng của mình dưới sự lãnh đạo của Hazel và Fiver.,"['Hoạt hình', 'Phiêu lưu', 'Chính kịch', 'Giật gân']",['Vương quốc Anh']
121,The Mask,1994,"['Comedy', 'Crime', 'Fantasy']",7.0,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,"['Jim Carrey', 'Peter Riegert', 'Peter Greene', 'Amy Yasbeck', 'Richard Jeni']",['Chuck Russell'],['United States'],Nghiên cứu viên ngân hàng Stanley Ipkiss biến thành một siêu anh hùng điên rồ khi ông đeo mặt nạ bí ẩn này.,"['Hài', 'Tội phạm', 'Giả tưởng']",['Hoa Kỳ']
122,Crimes of the Heart,1986,"['Comedy', 'Drama']",6.3,Three southern sisters try to come to grips with the meaning of their mother's suicide.,"['Diane Keaton', 'Jessica Lange', 'Sissy Spacek', 'Sam Shepard', 'Tess Harper']",['Bruce Beresford'],['United States'],Ba chị em gái miền Nam cố gắng chinh phục sự thật về cái chết tự sát của mẹ mình.,"['Hài', 'Chính kịch']",['Hoa Kỳ']
123,Extreme Measures,1996,"['Crime', 'Drama', 'Mystery', 'Thriller']",6.2,A young doctor confronts a famous colleague when he learns about the true methods of his work.,"['Hugh Grant', 'Gene Hackman', 'Sarah Jessica Parker', 'David Morse', 'Bill Nunn']",['Michael Apted'],"['United Kingdom', 'United States', 'Canada']",Một bác sĩ trẻ gặp gỡ một người đồng nghiệp nổi tiếng khi cậu học về các phương pháp thực sự của anh ta.,"['Tội phạm', 'Chính kịch', 'Bí ẩn', 'Giật gân']","['Vương quốc Anh', 'Hoa Kỳ', 'Canada']"
124,Old Yeller,1957,"['Adventure', 'Drama', 'Family', 'Western']",7.2,"A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.","['Dorothy McGuire', 'Fess Parker', 'Jeff York', 'Chuck Connors', 'Beverly Washburn']",['Robert Stevenson'],['United States'],Một cậu bé tuổi thiếu niên lớn lên yêu một con chó vàng vứt đi nhưng sau này được coi như một anh hùng khi giúp mẹ và em trai nhỏ quản lý trang trại ở Texas trong khi cha đang đi săn bò trên sa mạc.,"['Phiêu lưu', 'Chính kịch', 'Gia đình', 'Miền Tây']",['Hoa Kỳ']
125,Affliction,1997,"['Drama', 'Mystery', 'Thriller']",6.9,A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,"['Nick Nolte', 'Brigid Tierney', 'Holmes Osborne', 'Jim True-Frost', 'Tim Post']",['Paul Schrader'],"['United States', 'Canada', 'Japan']",Một cảnh sát nhỏ ở vùng quê đang vật lộn với tâm lý sâu sắc điều tra một cái chết trong rừng nghi vấn và các sự kiện khác đe dọa đến tinh thần của ông ta.,"['Chính kịch', 'Bí ẩn', 'Giật gân']","['Hoa Kỳ', 'Canada', 'Nhật Bản']"
126,Reds,1981,"['Biography', 'Drama', 'History', 'Romance']",7.3,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.","['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski', 'Jack Nicholson']",['Warren Beatty'],['United States'],Một nhà báo Mỹ quyết liệt trở nên liên quan với Cách mạng Cộng sản tại Nga và hy vọng mang tinh thần và lý tưởng của nó đến Hoa Kỳ.,"['Tiểu sử', 'Chính kịch', 'Lịch sử', 'Lãng mạn']",['Hoa Kỳ']
127,Passion Fish,1992,['Drama'],7.3,"After an accident leaves her a paraplegic, a former soap opera star struggles to recover both emotionally and mentally, until she meets her newest nurse, who has struggles of her own.","['Mary McDonnell', 'Angela Bassett', 'Lenore Banks', 'William Mahoney', 'Nelle Stokes']",['John Sayles'],['United States'],"Sau một tai nạn đã biến cô thành liệt người, một ngôi sao truyền hìnhSoap Opera trước đây phải vật lộn để hồi phục cả về mặt cảm xúc và tinh thần cho đến khi cô gặp nhân viên y tế mới của mình, người cũng đang vật lộn với những khó khăn của riêng mình.",['Chính kịch'],['Hoa Kỳ']
128,Wishmaster,1997,"['Fantasy', 'Horror']",5.8,"A demonic djinn attempts to grant its owner three wishes, which will allow him to summon his brethren to Earth.","['Angus Scrimm', 'Ari Barak', 'Jake McKinnon', 'Greg Funk', 'Andrew Divoff']",['Robert Kurtzman'],['United States'],Một vị thần quỷ thuộc tộc djinn cố gắng làm cho chủ của mình có được ba ước nguyện sẽ giúp ông ta triệu tập các anh em mình về Trái đất.,"['Giả tưởng', 'Kinh dị']",['Hoa Kỳ']
129,Sweet and Lowdown,1999,"['Comedy', 'Drama', 'Music']",7.2,"In the 1930s, jazz guitarist Emmet Ray idolizes Django Reinhardt, faces gangsters and falls in love with a mute woman.","['Woody Allen', 'Ben Duncan', 'Daniel Okrent', 'Dan Moran', 'Tony Darrow']",['Woody Allen'],['United States'],"Trong thập kỷ 1930, tay guitar nhạc jazz Emmet Ray ca ngợi Django Reinhardt, đối mặt với những tên cướp và rơi vào tình yêu với một phụ nữ không nói được tiếng gì.","['Hài', 'Chính kịch', 'Âm nhạc']",['Hoa Kỳ']
130,The Contender,2000,"['Drama', 'Thriller']",6.9,"Senator Laine Hanson is a contender for U.S. Vice President, but information and disinformation about her past surfaces that threatens to derail her confirmation.","['Gary Oldman', 'Joan Allen', 'Jeff Bridges', 'Christian Slater', 'Sam Elliott']",['Rod Lurie'],"['United States', 'Germany', 'United Kingdom']","Thượng nghị sĩ Laine Hanson đang trở thành ứng cử viên cho Phó Tổng thống Hoa Kỳ, nhưng những thông tin và tin đồn về quá khứ của bà sẽ đe dọa đình phá dự định đề cử của bà.","['Chính kịch', 'Giật gân']","['Hoa Kỳ', 'Đức', 'Vương quốc Anh']"
131,Magnum Force,1973,"['Action', 'Crime', 'Mystery', 'Thriller']",7.2,"Inspector ""Dirty"" Harry Callahan pursues a conspiracy of vigilante cops, who are not above going beyond the law to kill San Francisco's undesirables.","['Clint Eastwood', 'Hal Holbrook', 'Mitchell Ryan', 'David Soul', 'Tim Matheson']",['Ted Post'],['United States'],"Hải tặc ""Dirty"" Harry Callahan truy bắt một âm mưu phản diện của cảnh sát phi lý, những người sẵn sàng lạm dụng quyền lực để giết những tên tội phạm vô ơn ở San Francisco.","['Hành động', 'Tội phạm', 'Bí ẩn', 'Giật gân']",['Hoa Kỳ']
132,Hoosiers,1986,"['Drama', 'Sport']",7.4,A coach with a checkered past and a local drunk train a small-town high school basketball team to become a top contender for the state championship in 1950s Indiana.,"['Gene Hackman', 'Barbara Hershey', 'Dennis Hopper', 'Sheb Wooley', 'Fern Persons']",['David Anspaugh'],"['United States', 'United Kingdom']",Một huấn luyện viên có quá khứ bấp bênh và một người uống rượu địa phương đào tạo đội bóng rổ của trường trung học nhỏ trở thành ứng cử viên hàng đầu cho chức vô địch quốc gia ở Indiana vào những năm 1950.,"['Chính kịch', 'Thể thao']","['Hoa Kỳ', 'Vương quốc Anh']"
133,Gabbeh,1996,"['Drama', 'Mystery', 'Romance']",6.9,When an old couple washes their gabbeh - a type of Persian rug - a young woman magically appears and tells them her life story.,"['Abbas Sayah', 'Shaghayeh Djodat', 'Hossein Moharami', 'Rogheih Moharami', 'Parvaneh Ghalandari']",['Mohsen Makhmalbaf'],"['Iran', 'France']",Khi một cặp vợ chồng già giặt được chiếc gabbah của họ - một loại thảm sàn Ba Tư - một phụ nữ trẻ bí ẩn sẽ xuất hiện và kể cho họ nghe câu chuyện về cuộc đời mình.,"['Chính kịch', 'Bí ẩn', 'Lãng mạn']","['Iran', 'Pháp']"
134,The Mirror Has Two Faces,1996,"['Comedy', 'Drama', 'Romance']",6.6,"A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.","['Barbra Streisand', 'Jeff Bridges', 'Lauren Bacall', 'George Segal', 'Mimi Rogers']",['Barbra Streisand'],['United States'],"Một giáo sư nhút nhát, trung niên, bước vào một mối quan hệ lãng mạn nhưng không thể liên quan về mặt thể chất với đồng nghiệp khó may mắn yêu đương của mình.","['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
135,"Sex, Lies, and Videotape",1989,['Drama'],7.2,A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.,"['James Spader', 'Andie MacDowell', 'Peter Gallagher', 'Laura San Giacomo', 'Ron Vawter']",['Steven Soderbergh'],['United States'],Một phụ nữ bị áp đặt về mặt tình dục đã có chồng ngoại tình với em gái mình. Sự xuất hiện của một khách đến với một sở thích hơi bất thường đã thay đổi mọi thứ.,['Chính kịch'],['Hoa Kỳ']
136,"Love, the Magician",1986,"['Music', 'Drama']",6.9,"In a Gypsy village, the fathers of Candela and José promise their children to each other. Years later, the unfaithful José marries Candela but while defending his lover Lucía in a brawl, he is stabbed to death. Carmelo, who secretly loves Candela since he was a boy, is arrested while helping José and unfairly sent to prison. Four years later he is released and declares his love for Candela. However, the woman is cursed by a bewitched love and every night she goes to the place where José died to dance with his ghost.—Claudio Carvalho, Rio de Janeiro, Brazil","['Antonio Gades', 'Cristina Hoyos', 'Laura del Sol', 'Juan Antonio Jiménez', 'Emma Penella']",['Carlos Saura'],['Spain'],"Trong một ngôi làng Gypsy, cha của Candela và José hứa con cái với nhau.  Năm sau đó, người bất trungJosé kết hôn với Candela nhưng trong khi bảo vệ tình nhânLucía trong một cuộc xô xát, ông bị chém trọng thương.  Carmelo, người yêu Candela bí mật từ khi còn nhỏ, bị bắt vì giúp đỡ José và bị sai đi tù không công bằng.  Bốn năm sau đó anh ta được thả ra và tuyên bố tình yêu của mình với Candela. Tuy nhiên, người phụ nữ đã phải chịu những hậu quả của một tình yêu bị ám ảnh và mỗi tối cô lại đến nơi José chết để nhảy múa cùng hồn của ông .","['Âm nhạc', 'Chính kịch']",['Tây Ban Nha']
137,And God Created Woman,1988,"['Comedy', 'Drama', 'Romance']",4.4,"Aspiring and incarcerated rock singer, Robin Shea (Rebecca De Mornay) seduces hardworking carpenter Billy Moran (Vincent Spano). Robin marries Billy to get out of jail, but Robin's concerns are on politician James Tiernan (Frank Langella).","['Rebecca De Mornay', 'Vincent Spano', 'Frank Langella', 'Donovan Leitch Jr.', 'Judith Chapman']",['Roger Vadim'],['United States'],"Nữ ca sĩ nhạc rock đang khát vọng và đang thụ án tù giam, Robin Shea (Rebecca De Mornay) chinh phục người thợ mộc lao động chăm chỉ Billy Moran (Vincent Spano). Robin kết hôn với Billy để thoát khỏi tù, nhưng mối quan tâm của Robin vẫn là chính trị gia James Tiernan (Frank Langella).","['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
